Nombre del producto;Categoría;Subcategoría;Cate;Precio incluido IVA;Código de producto;Inventario inicial;Descripción ;Marca;Color;Peso;Garantía
TECLADO SATE AK-910 USB ;computación;teclados;computación,teclados;8,49;TEC-AK910;131;;Sate;negro;0.5;si
TECLADO SATE GAMING AK-837 USB ;gamer;teclados gamers;gamer,teclados gamers;12,14;TEC-AK837;4;USB CABLE 1.80M;Sate;negro;0.9;si
TECLADO USB FLEXIBLE;computación;teclados;computación,teclados;11,34;HD-TCL-FLEX;1;USB;;negro;0.2;
"MONITOR LG 19.5"" LED 20MK400H-B ";computación;monitores;computación,monitores;163,77;MON19-20MK400HB;10;"HDMI (CABLE INCLUIDO)
Sin parpadeo
Sincronización dinámica de acciones
Estabilizador de negros
OnScreen Control
Tiempo de respuesta 2 ms
Resolución: 1366 x 768
Ahorro de energía inteligente
Modo imagen Personalizada, Lectura, Debilidad de colores, Foto, Cine, Juego";Lg;negro;3.2;si
"MONITOR SAMSUNG 18.5"" S19A330NHL";computación;monitores;computación,monitores;186,85;MON-SAM18.5;1051;"Resolución: 1366X768
Tiempo de respuesta: 5 (GTG)ms
Modo ahorro
HDMI (INCLUYE CABLE)
VGA";Samsung;negro;3;si
"MONITOR SAMSUNG 24"" CURVED C24T550FDL";computación;monitores;computación,monitores;418,44;MON-SAM24;3;"RESOLUCIÓN 1920x1080 - 75 Hz
TIEMPO DE RESPUESTA: 4ms
HDMI (INCLUYE CABLE)
DISPLAY PORT
VGA";Samsung;negro;5.5;si
"MONITOR VIEWSONIC 18.5"" LED VA1903H";computación;monitores;computación,monitores;164,35;MONVA1903H;10;"MODELO: LED VA1903H
PUERTOS: HDMI-VGA
RESOLUCIÓN: (1366x768)
INCLUYE CABLE VGA";Viewsonic;negro;3;si
KIT GAMER REDRAGON M601WL-BA;gamer;kits gamers;gamer,kits gamers;19,62;MOU-PADREDRAGONM601W;9;"MOUSE CENTROPHORUS WIRELESS:
DPI de 400 a 3200.
Cantidad Botones: 6 botones.
TIpo de agarre: Palm, Claw, Fingertip.
Orientación: Ambidiestro.
Conexión: Inalámbrica 2.4 Ghz con Dongle USB.
Modelo Sensor: Pixart 3317 óptico.
Switches: Omron/20 millones de clicks.
Retroiluminación: Si, roja.
Frecuencia de respuesta: 500Hz.
MOUSE PAD PISCES:
Doble Costura.
Deslizamiento tipo Speed.
Base antideslizante de caucho.
Integramente lavable y resistente al agua.
Optimizado para todos los sensores.
Tipo deslizamiento: Tela entrelazada fibras de seda";Redragon;negro con rojo;0.3;si
MOUSE GENIUS 915 TRAVELER LASER INALÁMBRICO;computación;mouses;computación,mouses;26,15;mou915;2;"Tecnología de batería: Alcalino
Tipo de batería: AAA
Numero de baterías soportadas: 1
Cantidad de botones: 4
Frecuencia de banda: 2.4 GHz";Genius;negro;0.3;si
MOUSE GENIUS DX-110 G5 ;computación;mouses;computación,mouses;4,2;MOU110AZ;12;CONECTOR USB;Genius;azul;0.1;si
MOUSE GENIUS DX-110 G5 ;computación;mouses;computación,mouses;4,12;MOU110N;50;CONECTOR USB;Genius;negro;0.1;si
MOUSE GENIUS ECO-8100 INALÁMBRICO RECARGABLE;computación;mouses;computación,mouses;16,68;MOU8100R;0;"Cantidad de botones: Tres
Frecuencia RF: 2.4 GHz
Tipo de batería: Bateria NiMH recargable(Antes del primer uso, cargue completamente la batería durante 10 horas ininterrumpidas.)
Compatible con sistema operativo: Windows® 7, 8, 8.1, 10 / Mac OS X 10.8 o superior";Genius;negro;0.1;si
MOUSE GENIUS GX GAMING SCORPION M8-610;gamer;mouses gamers;gamer,mouses gamers;42,16;MOU610G;19;"6 botones: asigne hasta 24 teclas macro programables.
Sensibilidad de hasta 5 pasos entre 800 y adaptable en el set: resolución 8200 DPI
Máxima precisión: potente sensor láser con cuidado.
Placa sin esfuerzo: inserciones laterales de goma para un mejor agarre.
Fácil instalación: Smart Genius App libre para adaptarse a tus necesidades";Genius;negro;0.4;si
MOUSE GENIUS MICRO TRAVELER ;computación;mouses;computación,mouses;7,77;MOU-MTB;12;CONECTOR USB CON CABLE FLEXIBLE;Genius;blanco;0.1;si
MOUSE GENIUS MICRO TRAVELER ;computación;mouses;computación,mouses;7,77;MOU-MTN;13;CONECTOR USB CON CABLE FLEXIBLE;Genius;negro;0.1;si
MOUSE GENIUS MICRO TRAVELER ;computación;mouses;computación,mouses;7,77;MOU-MTR;12;CONECTOR USB CON CABLE FLEXIBLE;Genius;ruby;0.1;si
MOUSE GENIUS MICRO TRAVELER ;computación;mouses;computación,mouses;7,77;MOU-MTS;14;CONECTOR USB CON CABLE FLEXIBLE;Genius;silver;0.1;si
MOUSE GENIUS NX-7000 INALÁMBRICO;computación;mouses;computación,mouses;8,46;MOU7000N;20;"RF 2.4GHZ
PILA AA
COMPATIBLE: WINDOWS Y MAC";Genius;negro - azul;0.1;si
MOUSE GENIUS X-G200 PARA GAMER;gamer;mouses gamers;gamer,mouses gamers;7,16;MOUXG200N;10;"CONECTOR USB.
Posee rueda de desplazamiento.
Cuenta con 3 botones para un mayor control.
Con luces para mejorar la experiencia de uso.
Con sensor óptico.
Resolución de 1000dpi.
Creado para llevar a todas partes.
Control inteligente y navegación fácil.";Genius;negro;0.1;si
MOUSE KLIP XTREME KMO-111 ;computación;mouses;computación,mouses;6,29;MOU111K;4;"Sensor óptico de 1000/1600dpi
Práctica rueda central con modalidad ultrarrápida y gradual de navegación
Conexión USB
La configuración automática plug-and-play simpli ca la integración del mouse: ¡basta con conectarlo a tu computadora para comenzar a navegar de inmediato!
Diseño ergonómico con laterales estriados para mejor adherencia";Klip Xtreme;plateado;0.1;
MOUSE LOGITECH M100 ;computación;mouses;computación,mouses;8,37;MOU100ML;7;CONEXIÓN USB;Logitech;negro;0.1;si
MOUSE LOGITECH M110 SILENT ;computación;mouses;computación,mouses;9,49;MOU-110AZ;4;CONEXIÓN USB;Logitech;azul;0.1;si
MOUSE LOGITECH M110 SILENT ;computación;mouses;computación,mouses;9,26;MOUL110L;2;CONEXIÓN USB;Logitech;negro;0.1;si
MOUSE LOGITECH M170 INALÁMBRICO;computación;mouses;computación,mouses;12,25;MOU170LA;3;"Tecnología de sensor
Seguimiento óptico uniforme
DPI (mín./máx.): 1000±
Botones
Número de botones: 3 (click izquierdo/derecho, click de botón central)
Batería
Batería: 12 meses 6La duración de las baterías depende del uso y de los dispositivos
Detalles de batería: 1 x AAA (incluida)
Conectividad
Tipo de conexión: Conexión inalámbrica de 2.4 GHz
Radio de acción inalámbrico: 10 m 7El radio de acción inalámbrico depende del usuario, las condiciones del entorno y de los dispositivos.
Conexión / Encendido: Sí, interruptor de encendido/apagado
REQUISITOS DEL SISTEMA
USB Receiver
Requiere: Puerto USB disponible
Windows ® 10,11 o posterior
macOS 10.8 o posterior
Chrome OS™
Linux Kernel 2.6+
CONTENIDO DE LA CAJA
Mouse inalámbrico
Receptor USB
1 batería AA (preinstalada)
Documentación del usuario";Logitech;azul;0.1;si
MOUSE LOGITECH M170 INALÁMBRICO ;computación;mouses;computación,mouses;12,25;MOU170PL;1;"Tecnología de sensor
Seguimiento óptico uniforme
DPI (mín./máx.): 1000±
Botones
Número de botones: 3 (click izquierdo/derecho, click de botón central)
Batería
Batería: 12 meses 6La duración de las baterías depende del uso y de los dispositivos
Detalles de batería: 1 x AAA (incluida)
Conectividad
Tipo de conexión: Conexión inalámbrica de 2.4 GHz
Radio de acción inalámbrico: 10 m 7El radio de acción inalámbrico depende del usuario, las condiciones del entorno y de los dispositivos.
Conexión / Encendido: Sí, interruptor de encendido/apagado
REQUISITOS DEL SISTEMA
USB Receiver
Requiere: Puerto USB disponible
Windows ® 10,11 o posterior
macOS 10.8 o posterior
Chrome OS™
Linux Kernel 2.6+
CONTENIDO DE LA CAJA
Mouse inalámbrico
Receptor USB
1 batería AA (preinstalada)
Documentación del usuario";Logitech;plateado;0.1;si
MOUSE LOGITECH M170 INALÁMBRICO ;computación;mouses;computación,mouses;12,25;MOU170LR;3;"Tecnología de sensor
Seguimiento óptico uniforme
DPI (mín./máx.): 1000±
Botones
Número de botones: 3 (click izquierdo/derecho, click de botón central)
Batería
Batería: 12 meses 6La duración de las baterías depende del uso y de los dispositivos
Detalles de batería: 1 x AAA (incluida)
Conectividad
Tipo de conexión: Conexión inalámbrica de 2.4 GHz
Radio de acción inalámbrico: 10 m 7El radio de acción inalámbrico depende del usuario, las condiciones del entorno y de los dispositivos.
Conexión / Encendido: Sí, interruptor de encendido/apagado
REQUISITOS DEL SISTEMA
USB Receiver
Requiere: Puerto USB disponible
Windows ® 10,11 o posterior
macOS 10.8 o posterior
Chrome OS™
Linux Kernel 2.6+
CONTENIDO DE LA CAJA
Mouse inalámbrico
Receptor USB
1 batería AA (preinstalada)
Documentación del usuario";Logitech;rojo;0.1;si
MOUSE MICROSOFT BLUETOOTH 3600;computación;mouses;computación,mouses;34,4;MOU3600MR;3;"Diseño compacto para una máxima portabilidad.
Rueda de desplazamiento en 4 direcciones: Rueda de desplazamiento en 4 direcciones para navegar hacia arriba, abajo, a la izquierda y a la derecha.
BlueTrack Technology®: Combina la potencia de la tecnología óptica con la precisión de la tecnología láser para poder realizar un seguimiento destacado en prácticamente cualquier superficie.
Cómodo para ambas manos: Use el ratón con la mano derecha o la izquierda. El diseño ambidiestro proporciona comodidad en cualquier dirección.
Bluetooth Smart: Experiencia inalámbrica fiable que utiliza lo último en tecnología Bluetooth 4.0.
Duración de la pila de hasta 12 meses.
Requisitos del sistema
Equipo/Sistema operativo: Windows 10/8, Mac OS X 10.10.3, Android 4.4.2, 5.0.
Disco duro: Las características personalizables de Windows requieren el software Centro de Mouse y Teclado (150 MB de descarga de software) y la última actualización de Windows
Otros: El dispositivo debe ser compatible con Bluetooth® 4.0 (o superior). 1 pila alcalina tipo AA (incluida).";Microsoft;rojo;0.2;si
MOUSE MICROSOFT ÓPTICO CON ADAPTADOR PS2 MOD;computación;mouses;computación,mouses;9,84;MOU-PS2M;3;USB CON ADAPTADOR PS2 MOD. 1113 PART. # 4YH-00005;Microsoft;negro;0.2;si
MOUSE NITRON USB ERGONOMICO 14-02-030 ;computación;mouses;computación,mouses;12,85;MOU-N030;2;"Alámbrico. Longitud del cable: 1,8 M
Compatible con Windows, Mac y Linux.
DPI Intercambiable entre 800 - 1200 - 1600
5 botones
Conector: USB 2.0
Material: ABS";Nitron;negro;0.1;
MOUSE PAD GAMING REDRAGON FLICK P030 M;gamer;mouse pads gamers;gamer,mouse pads gamers;11,55;MOUPAD-REDRAGONP030;15; MEDIDAS (270X320X3mm);Redragon;negro;0.2;si
MOUSE PAD GAMING REDRAGON FLICK P031 L;gamer;mouse pads gamers;gamer,mouse pads gamers;14,83;MOUPAD-REDRAGONP031;14;  MEDIDAS (400X450X4mm);Redragon;negro;0.6;si
MOUSE PAD GAMING REDRAGON FLICK P032 XL;gamer;mouse pads gamers;gamer,mouse pads gamers;19,14;MOUPAD-REDAGONP032;1;  MEDIDAS (400X900X4mm);Redragon;negro;1.1;si
MOUSE PAD RAZER INVICTA GUNMETAL DUAL-SISED RZ02-00860300-R3M1 ;gamer;mouse pads gamers;gamer,mouse pads gamers;79,5;MOURZIN;1;CASE PROTECTOR, BASE ANTIDEZLIZANTE, MOUSE PAD DOBLE CARA;Razer;negro;2;si
MOUSE PAD RAZER INVICTA MERCURY DUAL-SISED RZ02-00860200-R3M1;gamer;mouse pads gamers;gamer,mouse pads gamers;79,5;MOURZIBL;1;CASE PROTECTOR, BASE ANTIDEZLIZANTE, MOUSE PAD DOBLE CARA;Razer;blanco;2;si
MOUSE PAD GAMING MARVO G35 XL;gamer;mouse pads gamers;gamer,mouse pads gamers;12,21;MOUPAD-G35;1;MEDIDAS 920X294X3mm;Marvo;azul con negro;0.6;si
MOUSE PAD GAMING MARVO G37 XL;gamer;mouse pads gamers;gamer,mouse pads gamers;12,21;MOUPAD-G37;1;MEDIDAS 920X294X3mm;Marvo;negro con rojo;0.6;si
MOUSE RAZER BASILISK X HYPERSPEED DUAL RZ01-03150100-R3U1;gamer;mouses gamers;gamer,mouses gamers;72,15;MOU-RAZER1223;2;"SENSOR ÓPTICO AVANZADO RAZER™ 5G
16 000DPI sensor óptico de
450IPS velocidad de rastreo de
Hasta 40G de aceleración
BATERÍA DE DURACIÓN EXTREMA
Hasta 450horas en modo Bluetooth
Hasta 285horas en modo HyperSpeed Wireless
6 BOTONES PROGRAMABLES
Memoria integrada: Perfil de memoria integrada
Switches mecánicos para ratones Razer™ con una duración de hasta 50 millones de clics";Razer;negro;0.2;si
MOUSE RAZER DEATHADDER ESSENTIAL 6400 DPI RZ01-02540100-R3U1;gamer;mouses gamers;gamer,mouses gamers;38,36;MOU-RAZER1164;1;"CONECTOR USB
DPI RATÓN 6400DPI
ERGONOMÍA PARA DIESTROS
ILUMINACIÓN RGB: Iluminación de un solo color (verde)
5 Botones
COMPATIBILIDAD
Windows e IOS
Longitud del cable: 1.8 metros";Razer;negro;0.2;si
MOUSE RAZER DEATHADDER V2 MINI RZ01-03340100-R3U1;gamer;mouses gamers;gamer,mouses gamers;39,89;MOU-RAZER1244;1;"SENSOR ÓPTICO DE 8500 PPP
6 BOTONES PROGRAMABLES
BASE DEL RATÓN COMPUESTA EN UN 100 % DE TEFLÓN
PERFIL DE MEMORIA INTEGRADA
Razer™ Optical Mouse Switches
Cable Razer™ Speedflex";Razer;negro;0.1;si
KIT RAZER MAMBA + FIREFLY HYPERFLUX RZ83-02480100-B3U1;gamer;kits gamers;gamer,kits gamers;328,15;MOU-PAPMAFI;1;"MOUSE RAZER MAMBA
MOUSE PAD RAZER FIREFLY
Tecnología de energía inalámbrica Razer HyperFlux
Ratón de juegos inalámbrico ultraligero
Sensor óptico verdadero de 16,000 DPI 5G
Doble superficie de tela dura y de tela
Advertencia: no coloque el producto sobre superficies metálicas o dentro de un metro de un enrutador wifi. No coloque teléfonos celulares u objetos metálicos sobre el producto.";Razer;negro;1.5;si
MOUSE RAZER NAGA X MMO  RZ01-03590100-R3U1;gamer;mouses gamers;gamer,mouses gamers;87,62;MOU-RAZER1305;9;"CONECTIVIDAD: USB Alámbrico - Razer™ Speedflex Cable
ILUMINACIÓN RGB: Razer Chroma™ RGB
MAX SENSITIVITY (DPI): 18000
BOTONES PROGRAMABLES: 16
SWITCH TYPE: Ópticos
SWITCH LIFECYCLE: 70 millones de clicks
MOUSE FEET: Base del ratón de Teflón 100 %";Razer;negro;0.2;si
MOUSE REDRAGON GAMING COBRA M711 RGB;gamer;mouses gamers;gamer,mouses gamers;34,04;MOU-REDRAGONM711;15;"CONEXIÓN: cableado USB.
BOTONES PROGRAMABLES: 8.
CABLE: mallado de 1,8 m.
MODELO DE SENSOR: Pixart P3360 óptico.
RETROILUMINACIÓN: sí, RGB Chroma.
DPI MÍNIMO: 100.
DPI MÁXIMO: 24.000";Redragon;negro;0.2;si
MOUSE SATE A-32 ;computación;mouses;computación,mouses;6,52;MOU-A-32;7;CONECTOR USB;Sate;negro;0.1;si
MOUSE SATE A-33 ;computación;mouses;computación,mouses;5,01;MOU-A-33;119;CONECTOR USB;Sate;negro;0.1;si
MOUSE SATE A-40 ÓPTICO ;computación;mouses;computación,mouses;4,46;MOU-A-40;44;CONECTOR USB;Sate;negro;0.1;si
MOUSE SATE A-41 ÓPTICO;computación;mouses;computación,mouses;4,46;MOU-A-41;87;CONECTOR USB;Sate;negro;0.1;si
MOUSE SATE A-501 ERGONÓMICO ;computación;mouses;computación,mouses;4,26;MOU-A-501;9;CONECTOR USB;Sate;negro;0.1;si
MOUSE SATE A-69G INALÁMBRICO ;computación;mouses;computación,mouses;5,2;MOU-A-69G;5;"Sensor óptico de 1200 DPI 
4 botones y scroll
Conexión: Receptor USB inalámbrico 2.4GHz
Vida útil: 10 millones de clicks
Bateria: 2 x AAA
Distancia máxima: 6 a 10 metros
Compatibilidad de OS: Win98, Me, NT4.0, 2000, XP, Vista, Win7, Win8, Win10, Linux, MAC OS 10.4 o mas adelante";Sate;negro;0.1;si
MOUSE SATE A-71G INALÁMBRICO;computación;mouses;computación,mouses;5,2;MOU-A-71G;68;"Sensor óptico de 800 / 1200 / 1600 DPI 
4 botones y scroll
Conexión: Receptor USB inalámbrico 2.4GHz
Vida útil: 10 millones de clicks
Bateria: 2 x AAA
Distancia máxima: 6 a 10 metros
Compatibilidad de OS: Win98, Me, NT4.0, 2000, XP, Vista, Win7, Win8, Win10, Linux, MAC OS 10.4 o mas adelante
";Sate;negro;0.1;si
MOUSE SATE A-72G INALÁMBRICO ;computación;mouses;computación,mouses;6,52;MOU-A-72G;266;"4 BOTONES
RESOLUCIÓN ÓPTICA: 1000, 1200, 1600 DPI
USB – se suministra con el transceptor USB nano
";Sate;negro;0.1;si
MOUSE X3017 ;computación;mouses;computación,mouses;3,74;MOU-3017;12;CONEXIÓN USB;;negro;0.1;
MOUSE XTRATECH M193 ;computación;mouses;computación,mouses;5,6;MOU193N;34;CONEXIÓN USB;Xtratech;negro;0.1;si
PARLANTE ANKER BLUETOOTH PREMIUM STEREO A3143H11;hogar;parlantes hogar;hogar,parlantes hogar;833,93;PARK143N;1;"Inalámbrico
Bluetooth 4.0 de hasta 20 mts de rango
Hasta aprox. 8 Horas de musica continua
5 W de Sonido con subwoofer pasivo en un formato compacto, gran volumen, bajos y claridad de sonido.
Exterior de Aluminio Premium Entrada Auxiliar, SD y Radio Fm.
Micrófono incorporado, con Noise Cancelling para recepción de llamados de forma inalámbrica 
Entrada: SDRadio: FM incorporada.
Bluetooth: 4.0
Rango: hasta 20 mts";Anker;negro;0.8;si
PARLANTE BLUETOOTH SPEAKER 2.1  CON CONTROL REMOTO;hogar;parlantes hogar;hogar,parlantes hogar;21,96;PAR2.1AZ;1;"Bluetooth
Soporte tarjeta Micro SD
Radio FM
Energía por USB 5V
Extreme Bass Tumer
Salida: 5W + 3Wx2 (RMS)
Impedancia: 4 ohmios
Unidad de altavoz: 3 ""+2"" x 2
Altavoz de graves mejorado
INCLUYE:
Bajo + 2 Parlantes
Control Remoto
Caja Manual";;azul con negro;0.6;
PARLANTE E-02A PARA PC;computación;parlantes;computación,parlantes;6,72;HD-E02A;1;"Dos Speaker
Output power : 5W
Frecuencia: 90Hz - 20KHz
Sensibilidad: 80db +/- 2 db
SNR >= 80dB
Distorsión : <= 0.3%";;negro;0.3;
PARLANTE GENIUS SOUND BAR 100 ;computación;parlantes;computación,parlantes;11,86;PAR-SB100;16;"CONEXIÓN: USB
POTENCIA: 6W";Genius;negro;0.6;si
PARLANTE HARMAN KARDON OMNI 10+ HKOMNI10PLWHTAM 2X25W;hogar;parlantes hogar;hogar,parlantes hogar;186,22;parob;1;"Altavoz con Bluetooth y WiFi.
Sistema de audio de alta definición.
Llena tu habitación con frecuencias puras y nítidas de sonido.
Posibilidad de configurar varios altavoces y disfrutar del sonido inalámbrico con un solo botón.
Conexión Aux-in.
Diseño elegante e innovador.
Control por medio de app Harman Kardon.
Admite transmisión de audio HD.
Respuesta en frecuencia 52Hz-20000Hz.
Potencia de 25W en woofer y 25W en tweeter.
Conexión 110V.";Harman Kardon;blanco;2.4;si
PARLANTE HARMAN KARDON OMNI 20+ HKOMNI20PLBLKAM 4X15W ;hogar;parlantes hogar;hogar,parlantes hogar;260,61;paron;1;"Altavoz con Bluetooth y WiFi.
Sistema de audio de alta definición.
Llena tu habitación con frecuencias puras y nítidas de sonido.
Posibilidad de configurar varios altavoces y disfrutar del sonido inalámbrico con un solo botón.
Conexión Aux-in.
Diseño elegante e innovador.
Control por medio de app Harman Kardon.
Conexión a corriente 110V.
Admite transmisión de audio HD.
Respuesta en frecuencia 52Hz-20000Hz.
Potencia de 60W";Harman Kardon;negro;3.4;si
PARLANTE JBL GO2;hogar;parlantes hogar;hogar,parlantes hogar;37,58;PARJBLGO2N;3;"Inalámbrico y portátil
Potencia de salida 6w
Apto para uso en exteriores
Conexión Bluetooth y entrada jack disponible.
Resistente al agua
Posee manos libres
Dimensiones: 71.2mm x 86.0mm x 31.6mm
Respuesta de frecuencia: 180Hz 20kHz
Tiempo de carga de la batería: 2.5 horas
Autonomía: 5 horas dependiendo de la variación del volumen y el contenido de audio";Jbl;negro;0.3;si
PARLANTE JBL XTREME 2;hogar;parlantes hogar;hogar,parlantes hogar;339,16;PARJBL-XTREME2N;36;"Inalámbrico, batería recargable
Resistente al agua
Versión Bluetooth4.2
Tiempo de reproducción de música aprox. 15h
Potencia de salida2 x 20W RMS Bi-amp
Respuesta de frecuencia dinámica55Hz–20kHz
Dimensiones (cm)28.7 x 13.7 x 10.7
Tipo de batería: Lithium-ion Polymer 36Wh
Tiempo de carga (hrs): 3.5
Disponible para JBL Connect+
Incluye USB para carga de dispositivos móviles
Posee Manos libres
";Jbl;negro;3.3;si
PARLANTE MAJESTIC MINI BTS-06 ;hogar;parlantes hogar;hogar,parlantes hogar;7,77;PAR-MAVC;1;"POTENCIA: 3W Compatible con: iPhone,iPod,Ordenador portátil,Teléfono móvil,MP3,MP4,MP5,PC,PSP,Tablet PC
Soportes: Bluetooth,Llamadas manos libres,Micrófono,Control de volumen
Funciones: Estéreo
Conexión: Buetooth
Interfaz de: Micro USB, puerto de carga de alimentación
Fuente de audio: Dispositivos habilitados para Bluetooth
Material: Metal, caucho
Tensión de carga: DC 5V
Entrada: CC 5V/100-120mA
Tiempo de carga: 3 horas
Tiempo de duración: 70 minutos
Capacidad de la batería: 400mAh";Majestic;rosado;0.1;
PARLANTE MINI XTECH XBS-600OR ;hogar;parlantes hogar;hogar,parlantes hogar;11,16;PARMINI600N;1;"POTENCIA: 6W
CONEXIÓN: BLUETOOTH";;naranja;0.2;
PARLANTES GENIUS SP-HF180;computación;parlantes;computación,parlantes;9,49;PAR-SP-HF180MAD;13;"Potencia máxima 3w c/parlante
Conector: USB
Control de volumen
Entrada de audio: 3.5 mm
Longitud de cable: 1.2m
Dimensiones: 84 x 129 x 84 mm
Requisitos del sistema: ordenadores Windows® o Mac OS o los ordenadores portátiles / tabletas o smartphones / reproductores de MP3";Genius;diseño madera con negro;0.8;si
PARLANTES GENIUS SP-HF180;computación;parlantes;computación,parlantes;9,49;PAR-SP-HF180;13;"Potencia máxima 3w c/parlante
Conector: USB
Control de volumen
Entrada de audio: 3.5 mm
Longitud de cable: 1.2m
Dimensiones: 84 x 129 x 84 mm
Requisitos del sistema: ordenadores Windows® o Mac OS o los ordenadores portátiles / tabletas o smartphones / reproductores de MP3";Genius;negro;0.8;si
ADAPTADOR TPLINK UC400 ;redes;adaptador;redes,adaptador;6,27;ADA-UC400;3;"USB-C 3.0 Super Rápido a Adaptador USB-A HEMBRA
Utilizar su dispositivo USB fácilmente
Compatibilidad con OTG (On The Go)
Añadir puerto USB-A 3.0 para los dispositivos
Compatibilidad: Windows, macOS, Chrome OS, Linux OS y Android 6.0
Interfaz de salida: Puerto USB-A 3.0
Interfaz de entrada: Conector USB-C 3.0";Tplink;blanco;0.1;si
ADAPTADOR TPLINK USB ARCHER T2U NANO WIRELESS AC600 DUAL BAND;redes;adaptador;redes,adaptador;12,06;ADA600-NANO;2;"Alta velocidad Wi-Fi – hasta velocidades de 600Mbps con 200Mbps en 2.4GHz y 433 Mbps a 5GHz, actualiza tus dispositivos a velocidades más altas de AC WiFi.
Doble banda Inalámbrica– 2,4 GHz y 5GHz banda de conectividad flexibles, actualiza tus dispositivos para trabajar con el último router de WiFi de doble banda para mayor velocidad y rango extendido.
Nano diseño – diseño pequeño y discreto le permite conectar y olvidarse de que esta conectado el dispositivo.
Sistema operativo: soporta Windows 10/8.1/8/7/XP, Mac OS X
Seguridad avanzada, soporta 64/128-bit WEP, WPA/WPA2 y WPA-PSK/WPA2-PSK estándares de cifrado";Tplink;negro;0.1;si
ADAPTADOR TPLINK USB ARCHER T4U WIRELESS AC1300 DUAL BAND;redes;adaptador;redes,adaptador;25,27;ADA1300;0;"Velocidad inalámbrica ultra-rápida de 1300 (867+400) Mbps con 802.11ac
Conexiones de banda dual libres de latencia para streaming de vídeo de alta definición y juegos.
Puerto USB 3.0 - Hasta 10 veces más rápido que USB 2.0
Encriptación sencilla de seguridad inalámbrica con sólo pulsar el botón WPS
Equipado con un cable de extensión USB para un despliegue flexible
Contenido caja:
Adaptador Inalámbrico Archer T4U
CD de Recursos
Guía Rápida de Instalación
";Tplink;negro;0.2;si
ADAPTADOR TPLINK USB TL-WN725N WIRELESS  NANO;redes;adaptador;redes,adaptador;7,1;ADA725;11;"Interface: USB 2.0
ANTENA INTERNA
Diseño liso y brillante en miniatura tan pequeño que una vez conectado, puede dejarlo en un puerto USB de la Laptop
Rápida transmisión de velocidad de hasta 150Mbps ideal para el streaming de video o llamadas por internet
Seguridad avanzada: Soporta 64/128 WEP, WPA, PA2/WPA-PSK/WPA2-PSK(TKIP/AES)
Conéctese de inmediato con la fácil utilidad de instalación en 14 idiomas
Dimensiones: 0.73x0.59x0.28pulgadas.(18.6x15x7.1mm)
Requisitos de sistema: Windows 8(32/64bits), Windows 7(32/64bits), Windows Vista(32/64bits),
Windows XP(32/64bits)";Tplink;negro;0.1;si
ADAPTADOR TPLINK USB TL-WN823N WIRELESS ;redes;adaptador;redes,adaptador;9,71;ADA823;8;"INTERFACE: USB 2.0
ANTENA INTERNA
DIMENSIONES: 1.54 x 0.72 x 0.31 in. (39 x 18.35 x 7.87mm)
Requisitos del sistema: Windows 11 / 10 / 8.1 / 8 / 7 / XP, Mac OS, Linux
Velocidad de transferencia datos inalámbrica de 300Mbps ideal para video en alta definición sin problemas, streaming de voz y juegos en línea
Diseño de tamaño miniatura para una portabilidad conveniente con un alto desempeño confiable
Modo SoftAP – Convierta una conexión de internet cableada en una PC o Laptop en un hotspot Wi-Fi
Configure fácilmente una conexión inalámbrica segura con sólo presionar un botón WPS";Tplink;negro;0.1;si
