Nombre del Producto;Categoría;Subcategoría;CATE;Precio Incluido IVA;Número de artículo;En stock;Marca
TANQUE APILABLE 55 GALONES EC. AZUL PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$42,89;10-8.0161;6;PLASTIGAMA
TANQUE BOTELLA 1100 LT KIT 3/4 PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$193,13;91003008;2;PLASTIGAMA
TANQUE BOTELLA 250 LT KIT 1/2 PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$67,97;91004043;2;PLASTIGAMA
TANQUE BOTELLA 500LT. PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$104,47;91004042;1;PLASTIGAMA
TANQUE CILINDRO STANDAR 500LT. PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$110,65;91001551;2;PLASTIGAMA
TANQUE CONICO STANDAR 1000LT + KIT PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$218,61;91001557;2;PLASTIGAMA
TANQUE CONICO STANDAR 500LT. PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$110,61;91001550;1;PLASTIGAMA
TERMINAL CURVO 1.40MT LARG 0.30MM (SUPERTECHO);CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$8,42;99350749;7;ACESCO
TERMINAL CURVO 1MT LARGO X0,30MM (SUPERTECHO);CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$6,01;99350751;12;ACESCO
TERMINAL CURVO DURA-TECH;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$9,83;631661;21;NOVACERO
TRASLUCIDA DURA-TECHO 12 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$43,82;TDMNRPLUS12;4;NOVACERO
TRASLUCIDA REY TECHO 3.60 MTS. TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$37,36;99351409;6;ULTRAFLEX
TRASLUCIDA REY TECHO 4.20 MTS. TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$56,92;99351410;8;ULTRAFLEX
TRASLUCIDA SUPERTECHO 12 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$43,82;SUPERT12P;7;ULTRAFLEX
TRASLUCIDA ZINC 10 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$20,55;945125874;4;OTROS PROVEEDOR
TRASLUCIDA ZINC 12 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$24,67;91014559;10;OTROS PROVEEDOR
TRASLUCIDA ZINC 8 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$17,30;99351408;11;OTROS PROVEEDOR
TUBO CONDUIT 1/2 X3M PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$1,31;91001377;3;PLASTIGAMA
TUBO DESAGUE 110MM * 3MTS. PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$10,65;91001388;1;PLASTIGAMA
TUBO DESAGUE 50MMX3MT PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$5,42;926224;17;PLASTIGAMA
UNIDAS ANTICORROSIVO CATERPILAR BRILLANTE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$19,55;D91018718;8;UNIDAS
UNIDAS ANTICORROSIVO CATERPILAR LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,98;D91018719;8;UNIDAS
UNIDAS ANTICORROSIVO GRIS BRILLANTE GALÓN;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$14,96;605A;5;UNIDAS
UNIDAS ANTICORROSIVO GRIS BRILLANT LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$4,51;D91018752;11;UNIDAS
UNIDAS ANTICORROSIVO GRIS MATE GALÓN;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$23,56;1020A;3;UNIDAS
UNIDAS ANTICORROSIVO GRIS MATE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$7,02;1020B;6;UNIDAS
UNIDAS ANTICORROSIVO NEGRO BRILLANTE GALÓN;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$24,92;600A;3;UNIDAS
UNIDAS ANTICORROSIVO NEGRO BRILLANTE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$7,12;D91018757;7;UNIDAS
UNIDAS ANTICORROSIVO NEGRO MATE GALÓN;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$14,15;91010608;5;UNIDAS
UNIDAS ANTICORROSIVO NEGRO MATE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$4,37;D91018775;12;UNIDAS
UNIDAS ANTICORROSIVO ROJO OXIDO BRILLANTE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,06;D91018760;3;UNIDAS
UNIDAS ANTICORROSIVO ROJO OXIDO BRILLANTE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,37;D91018759;3;UNIDAS
UNIDAS ANTICORROSIVO ROJO OXIDO MATE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$16,90;99350669;11;UNIDAS
UNIDAS ANTICORROSIVO ROJO OXIDO MATE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$4,82;D91018778;3;UNIDAS
UNIDAS LATEX SUPREMO ARENA LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,17;D91018961;4;UNIDAS
UNIDAS LATEX SUPREMO ARENA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1004A;10;UNIDAS
UNIDAS LATEX SUPREMO ARENA SAHARA CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,53;LS-1048F;2;UNIDAS
UNIDAS LATEX SUPREMO ARENA CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$92,67;LS-1004F;3;UNIDAS
UNIDAS LATEX SUPREMO AZUL MALIBU GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1041A;1;UNIDAS
UNIDAS LATEX SUPREMO BLANCO CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$87,51;LS-1000F;3;UNIDAS
UNIDAS LATEX SUPREMO BLANCO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1000A;2;UNIDAS
UNIDAS LATEX SUPREMO BLANCO ANTIGUO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1001A;2;UNIDAS
UNIDAS LATEX SUPREMO BLANCO APACIBLE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$22,02;D91018979;3;UNIDAS
UNIDAS LATEX SUPREMO BLANCO APACIBLE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$8,11;LS-1054B;2;UNIDAS
UNIDAS LATEX SUPREMO BLANCO HUESO CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$108,96;LS-1010F;4;UNIDAS
UNIDAS LATEX SUPREMO BLANCO HUESO LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,22;D91018985;4;UNIDAS
UNIDAS LATEX SUPREMO BLANCO OSTRA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1005A;4;UNIDAS
UNIDAS LATEX SUPREMO BRISA BEIGE CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,53;LS-1047F;2;UNIDAS
UNIDAS LATEX SUPREMO CAFE CATALAN GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$22,02;D91018992;2;UNIDAS
UNIDAS LATEX SUPREMO CAFE NAPOLITANO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$22,02;D91018994;3;UNIDAS
UNIDAS LATEX SUPREMO CREMA CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$99,62;D91019061;1;UNIDAS
UNIDAS LATEX SUPREMO CREMA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1046A;1;UNIDAS
UNIDAS LATEX SUPREMO CREMA SANTORINI CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,55;LS-1064F;1;UNIDAS
UNIDAS LATEX SUPREMO DAMASCO CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,55;LS-1009F;2;UNIDAS
UNIDAS LATEX SUPREMO HUESO CLARO CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,53;LS-1055F;3;UNIDAS
UNIDAS LATEX SUPREMO LILA MAGICO LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$6,23;D91019010;2;UNIDAS
UNIDAS LATEX SUPREMO LILA MAGICO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1061A;1;UNIDAS
UNIDAS LATEX SUPREMO MAGNOLIA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1011A;3;UNIDAS
UNIDAS LATEX SUPREMO MAGNOLIA CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,53;LS-1011F;3;UNIDAS
UNIDAS LATEX SUPREMO NARANJA AVENTURERO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1059A;2;UNIDAS
UNIDAS LATEX SUPREMO PRIMROSE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1042A;3;UNIDAS
UNIDAS LATEX SUPREMO ROJO ATREVIDO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1045A;5;UNIDAS
UNIDAS LATEX SUPREMO ROJO ILUSION GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,53;D91019027;5;UNIDAS
UNIDAS LATEX SUPREMO ROSA SUAVE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1035A;2;UNIDAS
UNIDAS LATEX SUPREMO SOL POSITANO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1063A;6;UNIDAS
UNIDAS LATEX SUPREMO SOL POSITANOLITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,06;D91018958;1;UNIDAS
UNIDAS LATEX SUPREMO TABACO LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$6,23;D91019035;2;UNIDAS
UNIDAS LATEX SUPREMO TANGERINE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1020A;6;UNIDAS
UNIDAS LATEX SUPREMO TECA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,58;D91019038;2;UNIDAS
UNIDAS LATEX SUPREMO TERRANOVA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,31;9124531P;1;UNIDAS
UNIDAS LATEX SUPREMO TIFFANY LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$6,23;D91019046;2;UNIDAS
UNIDAS LATEX SUPREMO TOQUE DE SOL CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,55;LS-1021F;1;UNIDAS
UNIDAS LATEX SUPREMO TOQUE DE SOL GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1021A;7;UNIDAS
UNIDAS LATEX SUPREMO VERDE OLIVO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1015A;2;UNIDAS
UNIDAS LATEX SUPREMO VIOLETA ENCANTADO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1060A;3;UNIDAS
VARILLA CORRUGADA 08MM X 12MTS ANDEC;CONSTRUCCIÓN;VARILLAS;CONSTRUCCIÓN/VARILLAS;$6,52;91001868;24,916;ANDEC
VARILLA CORRUGADA 10MM X 12MTS ANDEC;CONSTRUCCIÓN;VARILLAS;CONSTRUCCIÓN/VARILLAS;$10,17;91001871;11,776;ANDEC
VARILLA CORRUGADA 12 MM X 12 MT ANDEC;CONSTRUCCIÓN;VARILLAS;CONSTRUCCIÓN/VARILLAS;$14,66;91001874;19,068;ANDEC
VARILLA CORRUGADA 14MM X 12MTS ANDEC;CONSTRUCCIÓN;VARILLAS;CONSTRUCCIÓN/VARILLAS;$19,73;91001877;790;ANDEC
VIGA V1 (7.0MM 10X10) 6.5MT;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$17,67;213587;5;OTROS PROVEEDOR
VIGA V2 (7.0MM 15X10) 6.5MT;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$15,87;213588;8;OTROS PROVEEDOR
VIGA V3 (7.0MM 15X15) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$17,16;D91017316;18;OTROS PROVEEDOR
VIGA V5 (9.0MM 15X10) 6.5MT;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$26,23;213592;57;OTROS PROVEEDOR
VIGA V6 (9.0MM 15X15) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$32,47;D91017318;157;OTROS PROVEEDOR
VIGA V7 (9.0MM 10X20) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$29,77;D91017319;25;OTROS PROVEEDOR
VIGA V8 (12.0MM 15X15) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$44,77;D91017320;130;OTROS PROVEEDOR
VIGA V9 (12.0MM 25X15) 6.5M;CONSTRUCCIÓN;VIGAS;CONSTRUCCIÓN/VIGAS;$46,52;D91017321;5;OTROS PROVEEDOR
